G,Temp (F),,,,,,G,Temp (F)
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,61,,,,,,0,61
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,60,,,,,,0,60
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0,59,,,,,,0,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
0.003489,59,,,,,,0.003489,59
