load 2 P A,load 2 Q A,load2 P B,load 2 Q B,load 2 P C,load 2 Q C,load 1 P A,load 1 A,load 1 P B,load 1 Q B,load 1 P C,load 1 Q C,load 3 P,load 3 Q
0.0985,0.047705727,0.100931508,0.050951067,0.102314894,0.048648939,0.1485,0.071921833,0.159026237,0.074087377,0.199331688,0.10706639,0.12,0.058118653
0.0985,0.047705727,0.106341477,0.048112007,0.099222698,0.048177673,0.1535,0.074343443,0.159417207,0.077195727,0.159964036,0.080547937,0.12,0.058118653
0.0935,0.045284117,0.098897415,0.045390285,0.094280603,0.046180241,0.1535,0.074343443,0.159809533,0.077362789,0.165447486,0.081204833,0.1,0.04843221
0.0985,0.047705727,0.107728328,0.048714723,0.101942207,0.048184582,0.1535,0.074343443,0.156575608,0.077310494,0.159586793,0.080766413,0.1,0.04843221
0.0985,0.047705727,0.107848463,0.048259068,0.102482593,0.049620303,0.1535,0.074343443,0.157285871,0.074452236,0.159913444,0.076810643,0.1,0.04843221
0.0985,0.047705727,0.104657224,0.048906232,0.099783597,0.049027011,0.1535,0.074343443,0.158902179,0.075032285,0.160797456,0.075235917,0.12,0.058118653
0.0985,0.047705727,0.105049481,0.05050941,0.09969033,0.0478165,0.1435,0.069500222,0.145731647,0.069642434,0.145983275,0.071719611,0.1,0.04843221
0.0935,0.045284117,0.095228025,0.049581097,0.093865068,0.045599601,0.1435,0.069500222,0.143582191,0.072439864,0.150733875,0.074146479,0.1,0.04843221
0.0985,0.047705727,0.100525754,0.049478729,0.100723564,0.048951815,0.1485,0.071921833,0.149314904,0.074782942,0.151529741,0.076567773,0.1,0.04843221
0.0935,0.045284117,0.09384,0.048815805,0.095089401,0.046065228,0.1485,0.071921833,0.148658252,0.073958572,0.150326745,0.077410484,0.1,0.04843221
0.0935,0.045284117,0.098676947,0.04685248,0.093715891,0.046067431,0.1485,0.071921833,0.149363624,0.073077972,0.150353937,0.073302309,0.1,0.04843221
0.0985,0.047705727,0.105879114,0.050817738,0.099636476,0.047857788,0.1485,0.071921833,0.148735258,0.072154578,0.149178691,0.075256996,0.12,0.058118653
0.0985,0.047705727,0.103239946,0.050877372,0.099346413,0.047969624,0.1485,0.071921833,0.154162356,0.07510324,0.157458231,0.078109762,0.1,0.04843221
0.0985,0.047705727,0.105938249,0.051444395,0.100910385,0.047923553,0.1485,0.071921833,0.155517543,0.073343135,0.162039438,0.074159745,0.12,0.058118653
0.0985,0.047705727,0.100928783,0.04781371,0.103361327,0.049282077,0.1535,0.074343443,0.159240023,0.076546987,0.161528139,0.079861795,0.1,0.04843221
0.0985,0.047705727,0.103105828,0.050290547,0.09990186,0.047871267,0.1435,0.069500222,0.147706793,0.071898717,0.152063525,0.072278708,0.12,0.058118653
0.0985,0.047705727,0.105430316,0.049151431,0.099327505,0.049096992,0.1485,0.071921833,0.148605031,0.07451709,0.152916513,0.078095169,0.12,0.058118653
